GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE,HOME_SCORE,AWAY_SCORE
14,CRY,SOU,48,26,CRYSOU,1,0
14,NEW,AVL,51,24,NEWAVL,4,0
14,FUL,EVE,40,34,FULEVE,0,0
14,LIV,LEE,77,9,LIVLEE,1,2
14,ARS,NOT,75,8,ARSNOT,5,0
14,MUN,WHU,57,19,MUNWHU,1,0
15,LEE,BOU,54,22,LEEBOU,4,3
15,MCI,FUL,87,4,MCIFUL,2,1
15,NOT,BRF,31,44,NOTBRF,2,2
15,WOL,BHA,28,46,WOLBHA,2,3
15,EVE,LEI,38,36,EVELEI,0,2
15,CHE,ARS,43,31,CHEARS,0,1
15,AVL,MUN,27,49,AVLMUN,3,1
15,SOU,NEW,25,51,SOUNEW,1,4
15,WHU,CRY,51,22,WHUCRY,1,2
15,TOT,LIV,33,45,TOTLIV,1,2
16,MCI,BRF,85,5,MCIBRF,1,2
16,BOU,EVE,36,37,BOUEVE,3,0
16,LIV,SOU,77,8,LIVSOU,3,1
16,NOT,CRY,31,42,NOTCRY,1,0
16,TOT,LEE,66,16,TOTLEE,4,3
16,WHU,LEI,48,27,WHULEI,0,2
16,NEW,CHE,41,33,NEWCHE,1,0
16,WOL,ARS,17,59,WOLARS,0,2
16,BHA,AVL,57,20,BHAAVL,1,2
16,FUL,MUN,22,56,FULMUN,1,2
17,BRF,TOT,28,50,BRFTOT,2,2
17,CRY,FUL,49,26,CRYFUL,0,3
17,EVE,WOL,41,31,EVEWOL,1,2
17,LEI,NEW,29,47,LEINEW,0,3
17,SOU,BHA,28,48,SOUBHA,1,3
17,AVL,LIV,21,58,AVLLIV,1,3
17,ARS,WHU,66,12,ARSWHU,3,1
17,CHE,BOU,70,11,CHEBOU,2,0
17,MUN,NOT,74,9,MUNNOT,3,0
17,LEE,MCI,12,73,LEEMCI,1,3
18,WHU,BRF,48,27,WHUBRF,0,2
18,LIV,LEI,73,11,LIVLEI,2,1
18,WOL,MUN,22,54,WOLMUN,0,1
18,BOU,CRY,37,36,BOUCRY,0,2
18,FUL,SOU,44,32,FULSOU,2,1
18,MCI,EVE,85,4,MCIEVE,1,1
18,NEW,LEE,66,15,NEWLEE,0,0
18,BHA,ARS,30,45,BHAARS,2,4
18,TOT,AVL,58,20,TOTAVL,0,2
18,NOT,CHE,18,59,NOTCHE,1,1
19,BRF,LIV,20,61,BRFLIV,3,1
19,ARS,NEW,53,22,ARSNEW,0,0
19,EVE,BHA,27,48,EVEBHA,1,4
19,LEI,FUL,49,28,LEIFUL,0,1
19,MUN,BOU,74,9,MUNBOU,3,0
19,SOU,NOT,51,23,SOUNOT,0,1
19,LEE,WHU,37,37,LEEWHU,2,2
19,AVL,WOL,51,22,AVLWOL,1,1
19,CRY,TOT,28,48,CRYTOT,0,4
19,CHE,MCI,24,53,CHEMCI,0,1
19,FUL,CHE,28,47,FULCHE,2,1
20,AVL,LEE,50,26,AVLLEE,2,1
20,MUN,MCI,26,52,MUNMCI,2,1
20,BHA,LIV,31,48,BHALIV,3,0
20,EVE,SOU,41,33,EVESOU,1,2
20,NOT,LEI,33,41,NOTLEI,2,0
20,WOL,WHU,35,36,WOLWHU,1,0
20,BRF,BOU,58,20,BRFBOU,2,0
20,CHE,CRY,61,16,CHECRY,1,0
20,NEW,FUL,67,13,NEWFUL,1,0
20,TOT,ARS,32,44,TOTARS,0,2
20,CRY,MUN,21,55,CRYMUN,1,1
20,MCI,TOT,66,15,MCITOT,4,2
21,LIV,CHE,56,22,LIVCHE,0,0
21,BOU,NOT,40,32,BOUNOT,1,1
21,LEI,BHA,28,48,LEIBHA,2,2
21,SOU,AVL,37,36,SOUAVL,0,1
21,WHU,EVE,55,20,WHUEVE,2,0
21,CRY,NEW,21,53,CRYNEW,0,0
21,LEE,BRF,40,37,LEEBRF,0,0
21,MCI,WOL,81,5,MCIWOL,3,0
21,ARS,MUN,53,23,ARSMUN,3,2
21,FUL,TOT,28,50,FULTOT,0,1
22,CHE,FUL,61,17,CHEFUL,0,0
22,EVE,ARS,12,69,EVEARS,1,0
22,AVL,LEI,47,28,AVLLEI,2,4
22,BRF,SOU,51,25,BRFSOU,3,0
22,BHA,BOU,72,11,BHABOU,1,0
22,MUN,CRY,68,12,MUNCRY,2,1
22,WOL,LIV,18,60,WOLLIV,3,0
22,NEW,WHU,60,16,NEWWHU,1,1
22,NOT,LEE,35,39,NOTLEE,1,0
22,TOT,MCI,24,55,TOTMCI,1,0
22,MUN,LEE,64,16,MUNLEE,2,2
23,WHU,CHE,34,37,WHUCHE,1,1
23,ARS,BRF,67,13,ARSBRF,1,1
23,CRY,BHA,24,52,CRYBHA,1,1
23,FUL,NOT,50,24,FULNOT,2,0
23,LEI,TOT,28,49,LEITOT,4,1
23,SOU,WOL,39,33,SOUWOL,1,2
23,BOU,NEW,16,62,BOUNEW,1,1
23,LEE,MUN,27,50,LEEMUN,0,2
23,MCI,AVL,76,8,MCIAVL,3,1
23,LIV,EVE,71,12,LIVEVE,2,0
23,ARS,MCI,33,43,ARSMCI,1,3
24,AVL,ARS,22,54,AVLARS,2,4
24,BRF,CRY,55,21,BRFCRY,1,1
24,BHA,FUL,63,16,BHAFUL,0,1
24,CHE,SOU,63,15,CHESOU,0,1
24,EVE,LEE,36,37,EVELEE,1,0
24,NOT,MCI,8,77,NOTMCI,1,1
24,WOL,BOU,49,24,WOLBOU,0,1
24,NEW,LIV,41,35,NEWLIV,0,2
24,MUN,LEI,61,18,MUNLEI,3,0
24,TOT,WHU,53,23,TOTWHU,2,0
25,FUL,WOL,45,27,FULWOL,1,1
25,EVE,AVL,38,35,EVEAVL,0,2
25,LEE,SOU,50,25,LEESOU,1,0
25,LEI,ARS,19,60,LEIARS,0,1
25,WHU,NOT,58,17,WHUNOT,4,0
25,BOU,MCI,8,77,BOUMCI,1,4
25,CRY,LIV,20,58,CRYLIV,0,0
25,TOT,CHE,47,28,TOTCHE,2,0
25,ARS,EVE,76,8,ARSEVE,4,0
25,LIV,WOL,69,13,LIVWOL,2,0
26,MCI,NEW,64,15,MCINEW,2,0
26,ARS,BOU,79,6,ARSBOU,3,2
26,AVL,CRY,48,25,AVLCRY,1,0
26,BHA,WHU,55,21,BHAWHU,4,0
26,CHE,LEE,54,21,CHELEE,1,0
26,WOL,TOT,24,51,WOLTOT,1,0
26,SOU,LEI,37,37,SOULEI,1,0
26,NOT,EVE,38,34,NOTEVE,2,2
26,LIV,MUN,49,29,LIVMUN,7,0
26,BRF,FUL,51,25,BRFFUL,3,2
27,BOU,LIV,14,69,BOULIV,1,0
27,EVE,BRF,33,42,EVEBRF,1,0
27,LEE,BHA,25,51,LEEBHA,2,2
27,LEI,CHE,33,40,LEICHE,1,3
27,TOT,NOT,69,11,TOTNOT,3,1
27,CRY,MCI,10,71,CRYMCI,0,1
27,FUL,ARS,18,61,FULARS,0,3
27,MUN,SOU,69,13,MUNSOU,0,0
27,WHU,AVL,46,27,WHUAVL,1,1
27,NEW,WOL,63,13,NEWWOL,2,1
27,SOU,BRF,34,49,SOUBRF,0,2
27,BHA,CRY,67,12,BHACRY,1,0
28,NOT,NEW,19,57,NOTNEW,1,2
28,AVL,BOU,53,23,AVLBOU,3,0
28,SOU,TOT,25,50,SOUTOT,3,3
28,WOL,LEE,38,35,WOLLEE,2,4
28,BRF,LEI,49,27,BRFLEI,1,1
28,CHE,EVE,59,17,CHEEVE,2,2
28,ARS,CRY,75,7,ARSCRY,4,1
29,BOU,FUL,38,37,BOUFUL,2,1
29,ARS,LEE,74,10,ARSLEE,4,1
29,BHA,BRF,57,21,BHABRF,3,3
29,CRY,LEI,38,34,CRYLEI,2,1
29,MCI,LIV,61,19,MCILIV,4,1
29,NOT,WOL,35,38,NOTWOL,1,1
29,CHE,AVL,51,23,CHEAVL,0,2
29,WHU,SOU,52,22,WHUSOU,1,0
29,NEW,MUN,45,30,NEWMUN,2,0
29,EVE,TOT,28,49,EVETOT,1,1
29,LEI,AVL,42,33,LEIAVL,1,2
29,BOU,BHA,20,59,BOUBHA,0,2
29,LEE,NOT,55,22,LEENOT,2,1
29,CHE,LIV,32,44,CHELIV,0,0
29,MUN,BRF,56,23,MUNBRF,1,0
29,WHU,NEW,27,46,WHUNEW,1,6
30,MUN,EVE,66,15,MUNEVE,2,0
30,AVL,NOT,58,19,AVLNOT,2,0
30,TOT,BHA,36,41,TOTBHA,2,1
30,FUL,WHU,35,38,FULWHU,0,1
30,LEI,BOU,54,22,LEIBOU,0,1
30,WOL,CHE,29,43,WOLCHE,1,0
30,BRF,NEW,27,48,BRFNEW,1,2
30,SOU,MCI,8,77,SOUMCI,1,4
30,LEE,CRY,44,29,LEECRY,1,5
30,LIV,ARS,35,43,LIVARS,2,2
31,AVL,NEW,30,45,AVLNEW,3,0
31,CHE,BHA,36,38,CHEBHA,1,2
31,EVE,FUL,45,29,EVEFUL,1,3
31,MCI,LEI,85,4,MCILEI,3,1
31,SOU,CRY,37,34,SOUCRY,0,2
31,TOT,BOU,64,16,TOTBOU,2,3
31,WHU,ARS,20,58,WHUARS,2,2
31,WOL,BRF,34,40,WOLBRF,2,0
31,NOT,MUN,19,60,NOTMUN,0,2
31,LEE,LIV,21,59,LEELIV,1,6
32,BOU,WHU,31,43,BOUWHU,0,4
32,ARS,SOU,77,8,ARSSOU,3,3
32,BRF,AVL,40,35,BRFAVL,1,1
32,CRY,EVE,49,25,CRYEVE,0,0
32,FUL,LEE,43,33,FULLEE,2,1
32,LEI,WOL,53,21,LEIWOL,2,1
32,LIV,NOT,79,8,LIVNOT,3,2
32,NEW,TOT,55,23,NEWTOT,6,1
33,WOL,CRY,35,35,WOLCRY,2,0
33,NOT,BHA,16,64,NOTBHA,3,1
33,LEE,LEI,39,37,LEELEI,1,1
33,AVL,FUL,55,21,AVLFUL,1,0
33,CHE,BRF,42,32,CHEBRF,0,2
33,WHU,LIV,27,51,WHULIV,1,2
33,MCI,ARS,62,19,MCIARS,4,1
33,EVE,NEW,21,56,EVENEW,1,4
33,SOU,BOU,46,28,SOUBOU,0,1
33,TOT,MUN,34,43,TOTMUN,2,2
34,BRF,NOT,57,21,BRFNOT,2,1
34,BHA,WOL,66,14,BHAWOL,6,0
34,CRY,WHU,40,31,CRYWHU,4,3
34,MUN,AVL,51,25,MUNAVL,1,0
34,NEW,SOU,72,10,NEWSOU,3,1
34,FUL,MCI,9,76,FULMCI,1,2
34,BOU,LEE,34,41,BOULEE,4,1
34,LIV,TOT,64,18,LIVTOT,4,3
34,LEI,EVE,53,23,LEIEVE,2,2
34,ARS,CHE,55,22,ARSCHE,3,1
34,LIV,FUL,70,13,LIVFUL,1,0
34,MCI,WHU,81,6,MCIWHU,3,0
34,BHA,MUN,49,29,BHAMUN,1,0
35,BOU,CHE,32,42,BOUCHE,1,3
35,LIV,BRF,62,18,LIVBRF,1,0
35,MCI,LEE,85,5,MCILEE,2,1
35,NEW,ARS,43,35,NEWARS,0,2
35,TOT,CRY,42,33,TOTCRY,1,0
35,WOL,AVL,31,41,WOLAVL,1,0
35,WHU,MUN,31,45,WHUMUN,1,0
35,FUL,LEI,36,38,FULLEI,5,3
35,BHA,EVE,66,15,BHAEVE,1,6
35,NOT,SOU,48,26,NOTSOU,4,3
36,LEE,NEW,23,56,LEENEW,2,2
36,AVL,TOT,43,32,AVLTOT,2,1
36,CHE,NOT,60,18,CHENOT,2,2
36,CRY,BOU,45,28,CRYBOU,2,0
36,MUN,WOL,71,10,MUNWOL,2,0
36,SOU,FUL,37,38,SOUFUL,0,2
36,EVE,MCI,9,77,EVEMCI,0,3
36,BRF,WHU,41,33,BRFWHU,2,0
36,ARS,BHA,52,27,ARSBHA,0,3
36,LEI,LIV,24,56,LEILIV,0,3
36,NEW,BHA,52,26,NEWBHA,4,1
37,TOT,BRF,39,37,TOTBRF,1,3
37,BOU,MUN,17,62,BOUMUN,0,1
37,FUL,CRY,37,35,FULCRY,2,2
37,LIV,AVL,64,15,LIVAVL,1,1
37,WOL,EVE,33,41,WOLEVE,1,1
37,NOT,ARS,20,61,NOTARS,1,0
37,WHU,LEE,45,31,WHULEE,3,1
37,BHA,SOU,55,24,BHASOU,3,1
37,MCI,CHE,55,23,MCICHE,1,0
37,NEW,LEI,61,19,NEWLEI,0,0
37,BHA,MCI,32,46,BHAMCI,1,1
37,MUN,CHE,50,25,MUNCHE,4,1
38,ARS,WOL,54,23,ARSWOL,5,0
38,AVL,BHA,38,37,AVLBHA,2,1
38,BRF,MCI,28,48,BRFMCI,1,0
38,CHE,NEW,34,41,CHENEW,1,1
38,CRY,NOT,48,26,CRYNOT,1,1
38,EVE,BOU,58,20,EVEBOU,1,0
38,LEE,TOT,32,46,LEETOT,1,4
38,LEI,WHU,44,32,LEIWHU,2,1
38,MUN,FUL,48,29,MUNFUL,2,1
38,SOU,LIV,26,52,SOULIV,4,4
